Desert Eagle | Blaze,4,0.00,0.08
MP7 | Motherboard,2,0.00,0.50
MP7 | Nemesis,5,0.00,0.32
MP7 | Neon Ply,4,0.00,1.00
MP7 | Ocean Foam,4,0.00,1.00
MP7 | Olive Plaid,1,0.00,1.00
MP7 | Orange Peel,2,0.00,1.00
MP7 | Powercore,4,0.00,0.80
MP7 | Scorched,1,0.00,1.00
MP7 | Skulls,3,0.10,0.26
MP7 | Special Delivery,4,0.00,1.00
MP7 | Teal Blossom,3,0.00,1.00
MP7 | Urban Hazard,3,0.00,0.50
MP7 | Whiteout,3,0.00,1.00
MP9 | Airlock,5,0.00,1.00
MP9 | Bioleak,3,0.00,0.50
MP9 | Black Sand,3,0.00,1.00
MP9 | Bulldozer,4,0.00,1.00
MP9 | Capillary,3,0.00,0.70
MP9 | Dark Age,3,0.00,0.22
MP9 | Dart,3,0.00,0.46
MP9 | Deadly Poison,3,0.00,1.00
MP9 | Dry Season,1,0.00,1.00
MP9 | Goo,4,0.00,1.00
MP9 | Green Plaid,1,0.00,0.58
MP9 | Hot Rod,3,0.00,1.00
MP9 | Hydra,5,0.00,1.00
MP9 | Hypnotic,4,0.00,0.08
MP9 | Modest Threat,3,0.00,0.75
MP9 | Orange Peel,2,0.00,1.00
MP9 | Pandora's Box,3,0.00,0.30
MP9 | Rose Iron,4,0.00,1.00
MP9 | Ruby Poison Dart,4,0.00,1.00
MP9 | Sand Dashed,1,0.00,1.00
MP9 | Sand Scale,3,0.00,0.45
MP9 | Setting Sun,3,0.00,1.00
MP9 | Slide,1,0.00,1.00
MP9 | Stained Glass,4,0.00,0.50
MP9 | Storm,1,0.00,1.00
MP9 | Wild Lily,5,0.00,1.00
Nova | Antique,5,0.00,1.00
Nova | Baroque Orange,4,0.00,0.50
Nova | Blaze Orange,3,0.00,1.00
Nova | Bloomstick,5,0.00,1.00
Nova | Caged Steel,2,0.00,1.00
Nova | Candy Apple,2,0.00,0.30
Nova | Exo,3,0.00,1.00
Nova | Forest Leaves,1,0.00,1.00
Nova | Ghost Camo,3,0.00,1.00
Nova | Gila,4,0.00,0.30
Nova | Graphite,4,0.00,0.12
Nova | Green Apple,2,0.00,0.30
Nova | Hyper Beast,5,0.00,0.60
Nova | Koi,4,0.00,0.30
Nova | Mandrel,1,0.00,1.00
Nova | Modern Hunter,3,0.00,1.00
Nova | Moon in Libra,1,0.00,0.50
Nova | Plume,3,0.00,0.80
Nova | Polar Mesh,1,0.00,1.00
Nova | Predator,1,0.00,1.00
Nova | Ranger,3,0.00,1.00
Nova | Rising Skull,4,0.00,0.50
Nova | Sand Dune,1,0.00,1.00
Nova | Tempest,3,0.00,1.00
Nova | Toy Soldier,4,0.00,1.00
Nova | Walnut,1,0.00,1.00
Nova | Wild Six,4,0.00,0.80
Nova | Wood Fired,3,0.00,1.00
P250 | Asiimov,5,0.10,1.00
P250 | Bone Mask,1,0.00,1.00
P250 | Boreal Forest,1,0.00,1.00
P250 | Cartel,5,0.00,0.75
P250 | Contamination,2,0.00,1.00
P250 | Crimson Kimono,2,0.00,1.00
P250 | Dark Filigree,2,0.00,1.00
P250 | Exchanger,3,0.00,0.50
P250 | Facets,2,0.00,1.00
P250 | Facility Draft,1,0.00,1.00
P250 | Franklin,5,0.00,1.00
P250 | Gunsmoke,2,0.00,1.00
P250 | Hive,3,0.00,1.00
P250 | Inferno,4,0.00,0.68
P250 | Iron Clad,3,0.00,1.00
P250 | Mehndi,5,0.00,1.00
P250 | Metallic DDPAT,2,0.00,0.08
P250 | Mint Kimono,1,0.00,0.80
P250 | Modern Hunter,3,0.00,1.00
P250 | Muertos,5,0.00,0.60
P250 | Nevermore,4,0.00,1.00
P250 | Nuclear Threat,4,0.00,1.00
P250 | Red Rock,4,0.00,1.00
P250 | Ripple,3,0.00,0.50
P250 | Sand Dune,1,0.00,1.00
P250 | See Ya Later,6,0.00,0.70
P250 | Splash,4,0.00,0.18
P250 | Steel Disruption,3,0.00,0.20
P250 | Supernova,4,0.00,0.40
P250 | Undertow,5,0.00,0.20
P250 | Valence,3,0.00,0.80
P250 | Verdigris,3,0.00,1.00
P250 | Vino Primo,4,0.00,1.00
P250 | Whiteout,3,0.00,1.00
P250 | Wingshot,4,0.00,0.90
P250 | X-Ray,4,0.00,1.00
SCAR-20 | Army Sheen,1,0.00,0.30
SCAR-20 | Assault,3,0.00,0.62
SCAR-20 | Bloodsport,5,0.00,1.00
SCAR-20 | Blueprint,3,0.00,0.75
SCAR-20 | Brass,3,0.00,1.00
SCAR-20 | Carbon Fiber,2,0.00,0.12
SCAR-20 | Cardiac,5,0.00,1.00
SCAR-20 | Contractor,1,0.00,1.00
SCAR-20 | Crimson Web,3,0.00,1.00
SCAR-20 | Cyrex,5,0.00,0.50
SCAR-20 | Emerald,4,0.00,1.00
SCAR-20 | Enforcer,4,0.00,1.00
SCAR-20 | Green Marine,3,0.00,1.00
SCAR-20 | Grotto,3,0.00,0.50
SCAR-20 | Jungle Slipstream,3,0.00,1.00
SCAR-20 | Outbreak,3,0.00,0.50
SCAR-20 | Palm,2,0.00,1.00
SCAR-20 | Powercore,4,0.00,1.00
SCAR-20 | Sand Mesh,1,0.00,1.00
SCAR-20 | Splash Jam,5,0.00,1.00
SCAR-20 | Stone Mosaico,1,0.06,0.50
SCAR-20 | Storm,1,0.00,1.00
SCAR-20 | Torn,3,0.00,0.45
SG 553 | Aerial,3,0.00,1.00
SG 553 | Aloha,3,0.00,1.00
SG 553 | Anodized Navy,3,0.00,1.00
SG 553 | Army Sheen,1,0.00,0.30
SG 553 | Atlas,3,0.00,0.81
SG 553 | Barricade,1,0.00,0.65
SG 553 | Bulldozer,4,0.00,1.00
SG 553 | Candy Apple,2,0.00,1.00
SG 553 | Colony IV,5,0.00,1.00
SG 553 | Cyrex,5,0.00,1.00
SG 553 | Damascus Steel,3,0.00,1.00
SG 553 | Danger Close,3,0.00,1.00
SG 553 | Darkwing,4,0.00,1.00
SG 553 | Fallout Warning,2,0.00,0.80
SG 553 | Gator Mesh,2,0.00,0.60
SG 553 | Integrale,5,0.00,1.00
SG 553 | Phantom,4,0.00,0.60
SG 553 | Pulse,4,0.10,0.60
SG 553 | Tiger Moth,4,0.00,1.00
SG 553 | Tornado,1,0.00,1.00
SG 553 | Traveler,2,0.00,1.00
SG 553 | Triarch,4,0.00,1.00
SG 553 | Ultraviolet,3,0.00,1.00
SG 553 | Wave Spray,3,0.00,1.00
SG 553 | Waves Perforated,1,0.00,1.00
SSG 08 | Abyss,3,0.00,1.00
SSG 08 | Acid Fade,3,0.00,1.00
SSG 08 | Big Iron,5,0.00,0.64
SSG 08 | Blood in the Water,6,0.00,0.20
SSG 08 | Bloodshot,5,0.00,1.00
SSG 08 | Blue Spruce,1,0.00,1.00
SSG 08 | Dark Water,3,0.00,1.00
SSG 08 | Death's Head,4,0.00,0.51
SSG 08 | Detour,3,0.00,1.00
SSG 08 | Dragonfire,6,0.00,0.50
SSG 08 | Fever Dream,4,0.00,1.00
SSG 08 | Ghost Crusader,4,0.00,1.00
SSG 08 | Hand Brake,3,0.00,1.00
SSG 08 | Lichen Dashed,1,0.00,1.00
SSG 08 | Mayan Dreams,2,0.00,1.00
SSG 08 | Necropos,3,0.00,1.00
SSG 08 | Orange Filigree,3,0.00,1.00
SSG 08 | Red Stone,1,0.06,0.50
SSG 08 | Sand Dune,1,0.00,1.00
SSG 08 | Sea Calico,4,0.00,0.50
SSG 08 | Slashed,3,0.15,0.80
SSG 08 | Tropical Storm,2,0.00,1.00
M4A1-S | Atomic Alloy,5,0.00,1.00
M4A1-S | Basilisk,4,0.00,1.00
M4A1-S | Blood Tiger,3,0.00,1.00
M4A1-S | Boreal Forest,2,0.00,1.00
M4A1-S | Briefing,3,0.00,1.00
M4A1-S | Bright Water,4,0.10,0.22
M4A1-S | Chantico's Fire,6,0.00,1.00
M4A1-S | Control Panel,5,0.00,1.00
M4A1-S | Cyrex,6,0.00,0.50
M4A1-S | Dark Water,4,0.00,1.00
M4A1-S | Decimator,5,0.00,0.85
M4A1-S | Flashback,4,0.00,1.00
M4A1-S | Golden Coil,6,0.00,1.00
M4A1-S | Guardian,5,0.00,0.50
M4A1-S | Hot Rod,5,0.00,1.00
M4A1-S | Hyper Beast,6,0.00,1.00
M4A1-S | Icarus Fell,4,0.00,0.10
M4A1-S | Knight,5,0.00,1.00
M4A1-S | Leaded Glass,5,0.00,1.00
M4A1-S | Master Piece,5,0.00,1.00
M4A1-S | Mecha Industries,6,0.00,1.00
M4A1-S | Moss Quartz,2,0.00,1.00
M4A1-S | Nightmare,5,0.00,1.00
M4A1-S | Nitro,4,0.00,1.00
M4A1-S | Player Two,6,0.00,1.00
M4A1-S | VariCamo,3,0.00,1.00
USP-S | Blood Tiger,3,0.00,1.00
USP-S | Blueprint,3,0.00,1.00
USP-S | Business Class,3,0.00,1.00
USP-S | Caiman,5,0.00,1.00
USP-S | Check Engine,3,0.00,1.00
USP-S | Cortex,5,0.00,1.00
USP-S | Cyrex,4,0.00,1.00
USP-S | Dark Water,4,0.00,1.00
USP-S | Flashback,4,0.00,1.00
USP-S | Forest Leaves,2,0.00,1.00
USP-S | Guardian,4,0.00,1.00
USP-S | Kill Confirmed,6,0.00,1.00
USP-S | Lead Conduit,3,0.00,1.00
USP-S | Neo-Noir,6,0.00,1.00
USP-S | Night Ops,3,0.00,0.60
USP-S | Orion,4,0.00,1.00
USP-S | Overgrowth,4,0.00,1.00
USP-S | Para Green,2,0.00,0.80
USP-S | Pathfinder,2,0.00,1.00
USP-S | Road Rash,4,0.00,1.00
USP-S | Royal Blue,2,0.06,0.80
USP-S | Serum,5,0.00,1.00
USP-S | Stainless,3,0.00,0.80
USP-S | Torque,3,0.00,0.46
CZ75-Auto | Army Sheen,1,0.00,0.30
CZ75-Auto | Chalice,4,0.00,0.10
CZ75-Auto | Crimson Web,3,0.00,1.00
CZ75-Auto | Distressed,3,0.00,1.00
CZ75-Auto | Eco,4,0.00,1.00
CZ75-Auto | Emerald,3,0.00,1.00
CZ75-Auto | Emerald Quartz,3,0.00,0.70
CZ75-Auto | Green Plaid,1,0.00,0.58
CZ75-Auto | Hexane,3,0.00,0.40
CZ75-Auto | Imprint,3,0.00,1.00
CZ75-Auto | Indigo,1,0.00,1.00
CZ75-Auto | Nitro,3,0.06,0.80
CZ75-Auto | Poison Dart,3,0.00,1.00
CZ75-Auto | Pole Position,4,0.00,1.00
CZ75-Auto | Polymer,3,0.00,0.50
CZ75-Auto | Red Astor,4,0.00,1.00
CZ75-Auto | Tacticat,4,0.00,1.00
CZ75-Auto | The Fuschia Is Now,5,0.00,0.40
CZ75-Auto | Tigris,4,0.00,1.00
CZ75-Auto | Tread Plate,4,0.00,1.00
CZ75-Auto | Tuxedo,3,0.00,1.00
CZ75-Auto | Twist,3,0.00,1.00
CZ75-Auto | Victoria,6,0.00,1.00
CZ75-Auto | Xiangliu,5,0.00,1.00
CZ75-Auto | Yellow Jacket,5,0.00,1.00
R8 Revolver | Amber Fade,5,0.00,1.00
R8 Revolver | Bone Forged,3,0.00,1.00
R8 Revolver | Bone Mask,1,0.00,1.00
R8 Revolver | Canal Spray,1,0.00,1.00
R8 Revolver | Crimson Web,3,0.00,1.00
R8 Revolver | Fade,6,0.00,0.40
R8 Revolver | Grip,3,0.00,1.00
R8 Revolver | Llama Cannon,5,0.00,1.00
R8 Revolver | Memento,3,0.00,0.80
R8 Revolver | Nitro,2,0.00,1.00
R8 Revolver | Reboot,4,0.00,1.00
R8 Revolver | Skull Crusher,5,0.25,0.80
R8 Revolver | Survivalist,3,0.00,0.70
